desc,n_nodes,label,pred,conv3_feats,avg_desc_act,Cluster,acc,kmeansbitter,ClusterName,Imp
FRAEHPL,7,0,0,"[[-1.53130069e-02  4.75616381e-03  1.40540535e-02 -1.05848871e-01
   9.24277492e-03  1.81697354e-01 -1.44128390e-02 -9.48057175e-02
   1.40461713e-01 -4.25376855e-02  4.31820676e-02  5.04829511e-02
   5.26156686e-02 -4.55831960e-02 -2.23425068e-02  3.21256667e-02]
 [-6.08602166e-03  4.61384654e-04  1.18482942e-02 -1.15327790e-01
   2.09285412e-02  1.95518166e-01 -2.77099125e-02 -1.07556313e-01
   1.47672147e-01 -5.98997958e-02  6.92190528e-02  3.53746675e-02
   4.22641784e-02 -4.98899557e-02 -8.12534243e-04  2.42776982e-02]
 [-2.99500041e-02 -3.40810716e-02  1.58805633e-04 -1.20794259e-01
   9.57674533e-03  2.01543152e-01  1.63386427e-02 -7.93885067e-02
   1.53545216e-01 -2.01262943e-02  8.84408578e-02  5.05545661e-02
   7.21799433e-02 -4.35329154e-02 -1.10780895e-02  5.64397052e-02]
 [-1.60395913e-02 -3.25236693e-02 -1.06034102e-04 -1.29809156e-01
   2.38735471e-02  2.15029687e-01 -5.40706515e-03 -9.77648348e-02
   1.60100937e-01 -4.53983434e-02  1.12463161e-01  3.19819413e-02
   5.60211614e-02 -4.91843671e-02  1.33887865e-02  4.25206982e-02]
 [-7.93325901e-03 -3.03185806e-02  2.34025996e-04 -1.34210438e-01
   3.16686779e-02  2.21701786e-01 -1.83539502e-02 -1.08336993e-01
   1.63224339e-01 -5.99798821e-02  1.24001890e-01  2.18378529e-02
   4.65152338e-02 -5.23418635e-02  2.63560303e-02  3.40721309e-02]
 [ 2.62086056e-02 -2.10312940e-02  1.66627602e-03 -1.52747542e-01
   6.44998103e-02  2.49802977e-01 -7.28830099e-02 -1.52864307e-01
   1.76379323e-01 -1.21393695e-01  1.72600135e-01 -2.08865106e-02
   6.47863001e-03 -6.56404495e-02  8.09708089e-02 -1.51114166e-03]
 [ 2.31241621e-02 -2.18703263e-02  1.53688365e-03 -1.51072875e-01
   6.15337864e-02  2.47264266e-01 -6.79567456e-02 -1.48841619e-01
   1.75190866e-01 -1.15845442e-01  1.68209687e-01 -1.70267075e-02
   1.00956187e-02 -6.44390285e-02  7.60367960e-02  1.70351565e-03]]","[0.01173591 0.01126761 0.01936416 0.01744668 0.01613356 0.01060304
 0.01110268]",1.0,1,3,Cluster-1,0.013950518
FNQ,3,0,0,"[[-0.00485171 -0.02541004  0.02624255 -0.07633731 -0.00775426  0.09888134
   0.02516891 -0.08150133  0.0824061   0.00667591  0.01817586  0.01598354
   0.06445108 -0.02097161 -0.01640387  0.03393091]
 [-0.00302055 -0.02476235  0.02727034 -0.0751434  -0.00755094  0.09578207
   0.02402448 -0.08275571  0.08009823  0.00603511  0.01673245  0.01361863
   0.06309562 -0.02048801 -0.01522708  0.03213526]
 [-0.00940188 -0.02701943  0.02368864 -0.07930398 -0.00825946  0.10658253
   0.02801267 -0.0783844   0.08814082  0.00826821  0.02176253  0.02185996
   0.06781917 -0.02217329 -0.019328    0.03839281]]",[0.00866788 0.00811526 0.01004106],2.0,1,7,Cluster-2,0.008941399
DLP,3,0,0,"[[ 0.0623106  -0.00165468  0.06393932 -0.03254795 -0.00029721 -0.0147915
  -0.01680607 -0.12750855 -0.00224075 -0.01682706 -0.0347649  -0.07075494
   0.0147366  -0.00323433  0.02675763 -0.03192866]
 [ 0.04421864 -0.00832964  0.05203096 -0.04837899  0.00056637  0.02432422
  -0.00878187 -0.11720616  0.02611832 -0.01538852 -0.01303526 -0.04725421
   0.02666821 -0.01021951  0.01836263 -0.01439569]
 [-0.01780467 -0.03032933  0.01682446 -0.08972463 -0.00567455  0.13120843
   0.02924354 -0.07518916  0.10553727  0.0052165   0.03753322  0.0328778
   0.07225052 -0.02709565 -0.02077     0.04637779]]",[-0.01160078 -0.00566878  0.0131551 ],2.0,1,7,Cluster-2,-0.0013714867
EPAD,4,1,1,"[[-0.01241955 -0.02808679  0.02199489 -0.08127148 -0.00859451  0.11168998
   0.02989865 -0.07631725  0.0919441   0.00932422  0.02414122  0.02575721
   0.07005289 -0.02297024 -0.02126729  0.04135195]
 [ 0.05909006 -0.00279379  0.06213169 -0.03464773 -0.00065478 -0.0093407
  -0.01479331 -0.12530243  0.00181819 -0.01570005 -0.03222631 -0.06659571
   0.01712049 -0.00408486  0.02468797 -0.02877059]
 [ 0.16709264  0.03540679  0.12275121  0.03576916  0.01133677 -0.192136
  -0.08229254 -0.19928584 -0.13430093 -0.05349476 -0.11735943 -0.20607835
  -0.0628245   0.02443814  0.09409522 -0.13467821]
 [ 0.17467144  0.03808743  0.12700504  0.04071051  0.01217825 -0.20496325
  -0.08702914 -0.20447743 -0.14385276 -0.05614692 -0.12333344 -0.21586621
  -0.06843442  0.02643967  0.0989657  -0.14211002]]",[ 0.01095175 -0.01062887 -0.04322254 -0.04550972],3.0,1,2,Cluster-3,-0.022102345
PANLPWGSSNV,11,0,0,"[[-0.03863343 -0.03866966 -0.00105384 -0.11754198  0.00214711  0.19643335
   0.03067827 -0.06829828  0.15139546 -0.00475693  0.08030261  0.06025537
   0.08251592 -0.04038385 -0.02275328  0.06606841]
 [-0.04157874 -0.03947084 -0.0011774  -0.11594284 -0.00068513  0.19400914
   0.03538232 -0.06445705  0.15026063  0.00054104  0.0761102   0.06394106
   0.08596975 -0.03923663 -0.02746472  0.06913806]
 [-0.05290648 -0.04255222 -0.0016526  -0.10979252 -0.011578    0.1846856
   0.05347422 -0.04968357  0.145896    0.0209172   0.05998604  0.07811635
   0.09925327 -0.03482436 -0.04558506  0.08094405]
 [-0.04896409 -0.04115779  0.00056018 -0.1072221  -0.01114027  0.17801307
   0.05101031 -0.05238417  0.14092728  0.01953759  0.05687845  0.07302485
   0.09633506 -0.0337832  -0.0430515   0.07707813]
 [-0.02728911 -0.01642421  0.01398439 -0.09414144 -0.00701428  0.1519328
   0.02322386 -0.07199294  0.12164906 -0.00159516  0.02952597  0.05485579
   0.07440969 -0.03320083 -0.03669473  0.0504978 ]
 [-0.02906648 -0.01690769  0.01390983 -0.09317642 -0.00872342  0.1504699
   0.02606255 -0.06967492  0.12096423  0.00160195  0.02699602  0.05707995
   0.07649393 -0.03250852 -0.03953789  0.05235021]
 [-0.03300887 -0.01830212  0.01169705 -0.09574684 -0.00916115  0.15714243
   0.02852646 -0.06697432  0.12593295  0.00298156  0.03010361  0.06217144
   0.07941214 -0.03354969 -0.04207144  0.05621613]
 [-0.0277518  -0.03350981  0.01338922 -0.091268   -0.01029686  0.13763994
   0.03948097 -0.06581442  0.11126783  0.01468963  0.03622688  0.04555843
   0.08140204 -0.02701942 -0.03112048  0.0563868 ]
 [ 0.07895125  0.00423113  0.07327936 -0.02169837  0.00155041 -0.04295595
  -0.02720611 -0.13890764 -0.02321351 -0.02265033 -0.0478819  -0.09224593
   0.00241897  0.00116039  0.03745165 -0.04824653]
 [ 0.19532274  0.04539181  0.13859616  0.05417499  0.01447117 -0.23991574
  -0.09993574 -0.21862388 -0.16988026 -0.06337368 -0.13961184 -0.24253684
  -0.08372081  0.03189358  0.11223714 -0.16236074]
 [ 0.21852554  0.05359865  0.15161939  0.06930305  0.01704738 -0.27918673
  -0.11443698 -0.23451817 -0.19912352 -0.07149334 -0.15790148 -0.27250266
  -0.10089584  0.03802134  0.12714829 -0.18511349]]","[ 0.02110658  0.02158368  0.02341862  0.02222886  0.01448292  0.01477083
  0.01596059  0.01557881 -0.01662269 -0.05174199 -0.05874429]",2.0,1,7,Cluster-2,0.0020019906
FFVAP,5,0,0,"[[ 0.02766953 -0.01390725  0.04449602 -0.05513369 -0.00414342  0.04383884
   0.00484385 -0.10377888  0.04141853 -0.00470466 -0.00745903 -0.02601684
   0.04037841 -0.01238289  0.00449573  0.00204049]
 [ 0.0125574  -0.01925242  0.03601391 -0.06498669 -0.00582132  0.06941625
   0.0142886  -0.09342684  0.06046483  0.00058372  0.00445311 -0.00649991
   0.05156461 -0.01637394 -0.005216    0.01685949]
 [-0.03211737 -0.03505392  0.01093892 -0.09411432 -0.01078157  0.14502871
   0.04220936 -0.06282394  0.1167699   0.01621733  0.03966805  0.05119646
   0.08463349 -0.02817235 -0.03392599  0.06066769]
 [-0.05090029 -0.04200649 -0.00156844 -0.11088177 -0.00964882  0.18633685
   0.05027006 -0.05230002  0.146669    0.01730849  0.06284171  0.07560584
   0.0969007  -0.0356058  -0.04237587  0.07885315]
 [-0.05004995 -0.04177519 -0.00153277 -0.11134345 -0.00883113  0.18703672
   0.04891196 -0.05340902  0.14699663  0.01577892  0.06405209  0.07454175
   0.09590355 -0.03593701 -0.04101563  0.07796691]]",[-0.00114658  0.00341405  0.01689628  0.02309364  0.0229559 ],2.0,1,7,Cluster-2,0.01304266
GPFPVI,6,1,1,"[[ 0.27492893  0.30927145  0.20065928  0.09155799  0.04705748 -0.22818084
  -0.3463647  -0.33891293 -0.15917324 -0.27834624 -0.3441665  -0.20966676
  -0.22387537 -0.01810022  0.05880738 -0.31397977]
 [ 0.31914097  0.31823587  0.22498244  0.12079498  0.05129404 -0.30715674
  -0.36842826 -0.36733723 -0.21803866 -0.28852057 -0.37500212 -0.2706067
  -0.2543021  -0.00441347  0.09018095 -0.3552518 ]
 [ 0.27875465  0.21368818  0.19565862  0.10002327  0.03771651 -0.2948885
  -0.2678762  -0.31449208 -0.20965688 -0.20273763 -0.2888676  -0.27040315
  -0.1933034   0.01211469  0.10427585 -0.28748247]
 [ 0.21829583  0.09009993  0.15418802  0.06689996  0.02070734 -0.25606698
  -0.14481631 -0.24456593 -0.18160187 -0.10045187 -0.17972755 -0.25114954
  -0.113332    0.02693928  0.11076935 -0.19630378]
 [ 0.20909296  0.05026235  0.1463251   0.06315309  0.01600008 -0.26322198
  -0.10854185 -0.2280567  -0.18723534 -0.06819248 -0.15046625 -0.26032075
  -0.09391373  0.03553024  0.12108651 -0.17586389]
 [ 0.16824119  0.03581304  0.12339587  0.03651802  0.0114643  -0.19408001
  -0.08301038 -0.20007262 -0.13574852 -0.0538967  -0.11826478 -0.20756167
  -0.06367467  0.02474147  0.09483333 -0.1358045 ]]",[-0.09240525 -0.10527678 -0.08671726 -0.06125726 -0.05589766 -0.04356917],4.0,1,6,Cluster-4,-0.07418723
GPAGAPGAA,9,0,0,"[[-2.96654794e-02  5.56030124e-03  1.52459973e-02 -9.49639753e-02
  -6.50507491e-03  1.65576115e-01  7.51383603e-03 -7.55914003e-02
   1.32402524e-01 -1.61915272e-02  1.38245448e-02  7.09078312e-02
   6.91219494e-02 -3.94995958e-02 -4.99856994e-02  4.58603799e-02]
 [-2.46851426e-02 -7.53641129e-04  1.25328815e-02 -1.02704652e-01
   1.45424064e-03  1.76692188e-01  1.18201226e-03 -8.28946009e-02
   1.38440803e-01 -2.60119550e-02  3.54550667e-02  6.06614538e-02
   6.38097972e-02 -4.22427468e-02 -3.43892463e-02  4.26628962e-02]
 [-2.91316733e-02 -2.69320998e-02  2.83232238e-03 -1.16689481e-01
   7.50035420e-03  1.95879042e-01  1.35662779e-02 -7.97260478e-02
   1.50139928e-01 -2.08198391e-02  7.64718875e-02  5.31560555e-02
   7.07433820e-02 -4.31261547e-02 -1.66601948e-02  5.37866466e-02]
 [-2.41097584e-02 -3.47189195e-02 -4.44577192e-04 -1.25427514e-01
   1.61132049e-02  2.08387360e-01  7.48205185e-03 -8.72398466e-02
   1.56991482e-01 -3.08818668e-02  1.00975916e-01  4.20807675e-02
   6.54846728e-02 -4.60409634e-02  4.79411334e-04  5.09315729e-02]
 [-2.04903521e-02 -3.37343700e-02 -2.92743556e-04 -1.27392650e-01
   1.95936542e-02  2.11366385e-01  1.70138851e-03 -9.19602141e-02
   1.58386052e-01 -3.73923890e-02  1.06127843e-01  3.75515297e-02
   6.12403676e-02 -4.74507548e-02  6.26916066e-03  4.71593663e-02]
 [-2.02846862e-02 -3.36784199e-02 -2.84115551e-04 -1.27504319e-01
   1.97914299e-02  2.11535677e-01  1.37291104e-03 -9.22284424e-02
   1.58465296e-01 -3.77623402e-02  1.06420606e-01  3.72941606e-02
   6.09991886e-02 -4.75308634e-02  6.59815595e-03  4.69450131e-02]
 [-1.92451663e-02 -3.33956517e-02 -2.40508001e-04 -1.28068715e-01
   2.07910407e-02  2.12391272e-01 -2.87339091e-04 -9.35841650e-02
   1.58865824e-01 -3.96322124e-02  1.07900277e-01  3.59933302e-02
   5.97801916e-02 -4.79357652e-02  8.26101378e-03  4.58616093e-02]
 [-1.70824826e-02 -3.28073576e-02 -1.49783213e-04 -1.29242927e-01
   2.28706989e-02  2.14171320e-01 -3.74143943e-03 -9.64047164e-02
   1.59699112e-01 -4.35224138e-02  1.10978693e-01  3.32869887e-02
   5.72441071e-02 -4.87781540e-02  1.17205419e-02  4.36076149e-02]
 [-2.17451937e-02 -3.40757109e-02 -3.45383771e-04 -1.26711339e-01
   1.83869917e-02  2.10333571e-01  3.70552763e-03 -9.03236717e-02
   1.57902554e-01 -3.51352058e-02  1.04341686e-01  3.91218066e-02
   6.27118573e-02 -4.69619818e-02  4.26186994e-03  4.84671816e-02]]","[0.01335067 0.01370058 0.0181869  0.01875394 0.01816764 0.01813433
 0.01796594 0.01761561 0.01837091]",1.0,1,3,Cluster-1,0.017138503
LPLP,4,0,0,"[[ 0.01031883 -0.02535364  0.0009997  -0.14412029  0.04922005  0.23672456
  -0.04750494 -0.13214108  0.17025693 -0.09281142  0.14998229 -0.00100239
   0.02511185 -0.05945122  0.05555284  0.01504947]
 [ 0.02345135 -0.02178132  0.00155061 -0.15125051  0.06184842  0.24753356
  -0.06847931 -0.14926836  0.17531694 -0.11643401  0.16867542 -0.01743615
   0.00971193 -0.06456647  0.0765602   0.0013625 ]
 [ 0.03449018 -0.01877853  0.00201369 -0.15724398  0.07246345  0.2566193
  -0.08610979 -0.16366503  0.17957024 -0.13629046  0.18438832 -0.03124989
  -0.0032328  -0.06886619  0.09421836 -0.01014236]
 [ 0.02348379 -0.0217725   0.00155197 -0.15126812  0.0618796   0.24756026
  -0.06853113 -0.14931065  0.17532945 -0.11649233  0.16872159 -0.01747674
   0.0096739  -0.0645791   0.07661207  0.0013287 ]]",[0.01317697 0.01104968 0.00926153 0.01104442],1.0,1,3,Cluster-1,0.011133151
IPQEVLP,7,0,0,"[[-0.05009436 -0.04178726 -0.00153463 -0.11131934 -0.00887383  0.18700019
   0.04898289 -0.0533511   0.14697953  0.0158588   0.06398888  0.07459732
   0.09595563 -0.03591971 -0.04108667  0.0780132 ]
 [-0.044563   -0.04028262 -0.00130259 -0.11432256 -0.00355482  0.19155288
   0.04014858 -0.06056502  0.14911078  0.00590909  0.07186233  0.0676755
   0.08946925 -0.03807423 -0.03223847  0.07224832]
 [-0.03735327 -0.03746008  0.00447637 -0.10563599 -0.00559155  0.17095926
   0.03888541 -0.06343847  0.13453487  0.0082189   0.05880191  0.05823056
   0.08557498 -0.03398998 -0.03079738  0.06538396]
 [-0.01730017 -0.03033366  0.01594554 -0.0920696  -0.00371521  0.13598365
   0.02675286 -0.07692026  0.10858384  0.00179791  0.04208457  0.03231597
   0.07090942 -0.02842497 -0.01830433  0.04574519]
 [-0.02367372 -0.0320674   0.01567816 -0.08860911 -0.00984407  0.13073775
   0.03693226 -0.06860797  0.10612809  0.01326253  0.03301232  0.04029169
   0.07838339 -0.02594242 -0.02849972  0.05238782]
 [-0.01663282 -0.03101348  0.01049702 -0.10503298  0.00589619  0.16306065
   0.0154353  -0.08431998  0.12619482 -0.01468107  0.06635739  0.03190371
   0.06556661 -0.03557742 -0.00714491  0.04439992]
 [-0.03314517 -0.03717674 -0.00082361 -0.1205218   0.00742467  0.20095058
   0.02191279 -0.07545599  0.15351011 -0.01462913  0.08811472  0.05338748
   0.07608008 -0.04252158 -0.01397401  0.06034844]]","[0.0229631  0.02206709 0.01942497 0.01331567 0.0143481  0.01468181
 0.02021755]",2.0,1,7,Cluster-2,0.018145468
